Series Number,Episode Number,Episode Type,Title,Episode Date,Author Id,Doctor Id,Notes
1,1,Classic,An Unearthly Child (An Unearthly Child - Part One),23-Nov-63,1,1,
1,2,Classic,The Cave of Skulls (An Unearthly Child - Part Two),30-Nov-63,1,1,
1,3,Classic,The Forest of Fear (An Unearthly Child - Part Three),07-Dec-63,1,1,
1,4,Classic,The Firemaker (An Unearthly Child - Part Four),14-Dec-63,1,1,
1,5,Classic,The Dead Planet (The Daleks - Part One),21-Dec-63,2,1,
1,6,Classic,The Survivors (The Daleks - Part Two),28-Dec-63,2,1,
1,7,Classic,The Escape (The Daleks - Part Three),04-Jan-64,2,1,
1,8,Classic,The Ambush (The Daleks - Part Four),11-Jan-64,2,1,
1,9,Classic,The Expedition (The Daleks - Part Five),18-Jan-64,2,1,
1,10,Classic,The Ordeal (The Daleks - Part Six),25-Jan-64,2,1,
1,11,Classic,The Rescue (The Daleks - Part Seven),01-Feb-64,2,1,
1,12,Classic,The Edge of Destruction (The Edge of Destruction - Part One),08-Feb-64,3,1,
1,13,Classic,The Brink of Disaster (The Edge of Destruction - Part Two),15-Feb-64,3,1,
1,14,Classic,The Roof of the World (Marco Polo - Part One),22-Feb-64,4,1,
1,15,Classic,The Singing Sands (Marco Polo - Part Two),29-Feb-64,4,1,
1,16,Classic,Five Hundred Eyes (Marco Polo - Part Three),07-Mar-64,4,1,
1,17,Classic,The Wall of Lies (Marco Polo - Part Four),14-Mar-64,4,1,
1,18,Classic,Rider From Shang-Tu (Marco Polo - Part Five),21-Mar-64,4,1,
1,19,Classic,Mighty Kublai Khan (Marco Polo - Part Six),28-Mar-64,4,1,
1,20,Classic,Assassin at Peking (Marco Polo - Part Seven),04-Apr-64,4,1,
1,21,Classic,The Sea of Death (The Keys of Marinus - Part One),11-Apr-64,2,1,
1,22,Classic,The Velvet Web (The Keys of Marinus - Part Two),18-Apr-64,2,1,
1,23,Classic,The Screaming Jungle (The Keys of Marinus - Part Three),25-Apr-64,2,1,
1,24,Classic,The Snows of Terror (The Keys of Marinus - Part Four),02-May-64,2,1,
1,25,Classic,Sentence of Death (The Keys of Marinus - Part Five),09-May-64,2,1,
1,26,Classic,The Keys of Marinus (The Keys of Marinus - Part Six),16-May-64,2,1,
1,27,Classic,The Temple of Evil (The Aztecs - Part One),23-May-64,4,1,
1,28,Classic,The Warriors of Death (The Aztecs - Part Two),30-May-64,4,1,
1,29,Classic,The Bride of Sacrifice (The Aztecs - Part Three),06-Jun-64,4,1,
1,30,Classic,The Day of Darkness (The Aztecs - Part Four),13-Jun-64,4,1,
1,31,Classic,Strangers in Space (The Sensorites - Part One),20-Jun-64,5,1,
1,32,Classic,The Unwilling Warriors (The Sensorites - Part Two),27-Jun-64,5,1,
1,33,Classic,Hidden Danger (The Sensorites - Part Three),11-Jul-64,5,1,
1,34,Classic,A Race Against Death (The Sensorites - Part Four),18-Jul-64,5,1,
1,35,Classic,Kidnap (The Sensorites - Part Five),25-Jul-64,5,1,
1,36,Classic,A Desperate Venture (The Sensorites - Part Six),01-Aug-64,5,1,
1,37,Classic,A Land of Fear (The Reign of Terror - Part One),08-Aug-64,6,1,
1,38,Classic,Guests of Madame Guillotine (The Reign of Terror - Part Two),15-Aug-64,6,1,
1,39,Classic,A Change of Identity (The Reign of Terror - Part Three),22-Aug-64,6,1,
1,40,Classic,The Tyrant of France (The Reign of Terror - Part Four),29-Aug-64,6,1,
1,41,Classic,A Bargain of Necessity (The Reign of Terror - Part Five),05-Sep-64,6,1,
1,42,Classic,Prisoners of Conciergerie (The Reign of Terror - Part Six),12-Sep-64,6,1,
2,1,Classic,Planet of Giants (Planet of Giants - Part One),31-Oct-64,7,1,
2,2,Classic,Dangerous Journey (Planet of Giants - Part Two),07-Nov-64,7,1,
2,3,Classic,Crisis (Planet of Giants - Part Three),14-Nov-64,7,1,
2,4,Classic,World's End (The Dalek Invasion of Earth - Part One),21-Nov-64,2,1,
2,5,Classic,The Daleks (The Dalek Invasion of Earth - Part Two),28-Nov-64,2,1,
2,6,Classic,Day of Reckoning (The Dalek Invasion of Earth - Part Three),05-Dec-64,2,1,
2,7,Classic,The End of Tomorrow (The Dalek Invasion of Earth - Part Four),12-Dec-64,2,1,
